Coefficient,SNR,PI,PU
${X'}_{vv}$,0.1,0.0002390324360125604,-0.014516720731174116
,1.0,0.00010131749356410437,-0.014811778619845416
,10.0,0.00016872517756417592,-0.014709762506262734
${Y'}_{v}$,0.1,-0.008825598909426148,-0.020345053834867097
,1.0,-0.008846187170944642,-0.020320484352033267
,10.0,-0.0090375020548767,-0.020667136611640897
${N'}_{v}$,0.1,-0.0028236600503277584,0.00039694363339684737
,1.0,-0.002831592779270525,0.00018044074117330418
,10.0,-0.0028129304617889846,-0.00012186987555458926
${X'}_{rr}$,0.1,-4.965194606160312e-05,-0.002004838128315686
,1.0,-3.0481011297480545e-05,-0.002183016257736412
,10.0,-0.00015214355430965415,-0.0023030453070683227
${N'}_{r}$,0.1,-0.0015725310212505428,-0.0019638382180513646
,1.0,-0.0015781485486690084,-0.002208011573022359
,10.0,-0.0015756901042874405,-0.0025668038338420725
${X'}_{vr}$,0.1,0.003140523360744973,-0.009647906627784263
,1.0,0.0031283277311887473,-0.010018223417720937
,10.0,0.003049143440618368,-0.01008403674231786
