LaTeX,Description,LaTeX1,Description1,LaTeX2,Description2
$\alpha$,Rudder angle of attack,$C_{D U}$,,$s$,
$\alpha_{f}$,,$C_{D0 C}$,,$T$,
$\alpha_{s}$,,$C_{D0 tune}$,,$u$,
$\delta$,,$C_{D0 U}$,,$u_{s}$,
$\delta_{\alpha s}$,,$C_{DC}$,,$v$,
$\delta_{lim}$,,$C_{F C}$,,$V_{\infty}$,
$\dot{r}$,,$C_{F U}$,,$V_{A}$,
$\dot{u}$,,$C_{L max}$,,$V_{R C}$,
$\dot{v}$,,$C_{L}$,,$V_{R U}$,
$\gamma$,,$C_{N}$,,$V_{R x C}$,
$\gamma_{0}$,,$c_{r}$,,$V_{R x U}$,
$\gamma_{g}$,,$C_{Th}$,,$V_{R y}$,
$\kappa_{r \gamma g}$,,$c_{t}$,,$V_{x corr}$,
$\kappa_{r tot}$,,$d$,,$V_{x C}$,
$\kappa_{r}$,,$D_{R}$,,$V_{x U}$,
$\kappa_{v \gamma g}$,,$dC_{L dalpha}$,,$w_{f}$,
$\kappa_{v tot}$,,$e_{0}$,,$x$,
$\kappa_{v}$,,$f$,,$X_{\dot{u}}$,
$\lambda_{gap}$,,$I_{z}$,,$X_{D}$,
$\lambda_{R}$,,$L_{R C}$,,$x_{G}$,
$\lambda_{}$,,$L_{R U}$,,$x_{H}$,
$\nu$,,$L_{R}$,,$X_{H}$,
$\Omega$,,$m$,,$X_{P}$,
$\rho$,,$N_{\dot{r}}$,,$X_{RHI}$,
$a_{0}$,,$N_{\dot{v}}$,,$x_{R}$,
$a_{H}$,,$N_{D}$,,$X_{R}$,
$A_{R C}$,,$N_{H}$,,$X_{T}$,
$A_{R U}$,,$N_{P}$,,$Y_{\dot{r}}$,
$A_{R}$,,$N_{RHI}$,,$Y_{\dot{v}}$,
$AR_{e}$,,$N_{R}$,,$Y_{D}$,
$AR_{g}$,,$r$,,$Y_{H}$,
$B_{0}$,,$r_{0}$,,$y_{p}$,
$b_{R}$,,$r_{\Delta}$,,$Y_{P}$,
$B_{s}$,,$r_{\infty}$,,$Y_{RHI}$,
$c$,,$r_{x}$,,$Y_{R}$,
$C_{D C}$,,$Re_{F C}$,,$y_{R}$,
$C_{D tune}$,,$Re_{F U}$,,${\delta}$,Rudder angle
